Index,Doctor,Speciality,Location,Ratings
0,Dr.Manoj A G,Diabetologist,Noida,4.6
1,Dr. Abhinav Mishra,Dermatologist,Noida,4.75
2,Dr. Deepti Rana,Dermatologist,Delhi,4.6
3,Dr. Sachin Bansal,Dentist,Delhi,4.8
4,Dr.Kapil Garg,Dentist,Noida,4
5,Dr.Ranbeer Singh,ENT,Hyderabad,4.65
6,Dr. Sathish Kumar S,ENT,Kanpur,4.8
7,Dr.S.Mahalakshmi,General Physician,Delhi,3.9
8,Dr.Saurabh Agarwal,General Physician,Lucknow,4
9,Dr.Rama Srivastava,General Physician,Mumbai,4.5
10,Dr.R.K.Porwal,General Physician,Banglore,4.6
11,Dr.Anil Gupta,ENT,Lucknow,4.9
12,Dr.Vivek Dwivedi,ENT,Delhi,4.6
13,Dr.Nitya Singh,ENT,Noida,4.6
14,Dr.Himanshu Gupta,Dentist,Lucknow,4.5
15,Dr.Ankit Bahal,Dentist,Mumbai,4.7
16,Dr.Ashish Mathur,Dentist,Banglore,4.3
17,Dr.Saurabh Agarwal,Diabetologist,Delhi,4.2
18,Dr.Atul Mehrotra,Diabetologist,Lucknow,4.2
19,Dr. Amit Mohan,Diabetologist,Mumbai,4.1
20,Dr.Amit Singh,Homoepath,Delhi,4.5
